predicate,uri
face value,P3934
position held,P39
country,P17
has list,P2354
country of origin,P495
genre,P136
location of formation,P740
inception,P571
work period (start),P2031
start time,P580
point in time,P585
developer,P178
distributed by,P750
subclass of,P279
part of,P361
continent,P30
author,P50
creator,P170
founded by,P112
publication date,P577
follows,P155
followed by,P156
instance of,P31
located in the administrative territorial entity,P131
location,P276
contains administrative territorial entity,P150
sport,P641
occupation,P106
country of citizenship,P27
date of birth,P569
original broadcaster,P449
member of sports team,P54
publisher,P123
uses,P2283
powered by,P516
place of birth,P19
position played on team / speciality,P413
league,P118
made from material,P186
military rank,P410
date of death,P570
conflict,P607
religion,P140
notable work,P800
sports discipline competed in,P2416
performer,P175
record label,P264
occupant,P466
place of death,P20
named after,P138
practiced by,P3095
religious order,P611
patron saint,P417
employer,P108
participant in,P1344
work location,P937
capital,P36
commissioned by,P88
shares border with,P47
central bank,P1304
represents,P1268
educated at,P69
member of political party,P102
encodes,P688
owned by,P127
owner of,P1830
sports season of league or competition,P3450
winner,P1346
spouse,P26
child,P40
father,P22
mother,P25
country for sport,P1532
parent taxon,P171
taxonomic type,P427
present in work,P1441
cast member,P161
characters,P674
has part,P527
facet of,P1269
award received,P166
headquarters location,P159
date of official opening,P1619
head of state,P35
has effect,P1542
director,P57
language used,P2936
operator,P137
participant,P710
historic county,P7959
significant event,P793
court,P4884
industry,P452
participating team,P1923
indigenous to,P2341
conferred by,P1027
connecting line,P81
member of,P463
depicts,P180
collection,P195
presenter,P371
maintained by,P126
screenwriter,P58
legislated by,P467
composer,P86
authority,P797
service entry,P729
main subject,P921
product or material produced,P1056
space launch vehicle,P375
manufacturer,P176
interested in,P2650
candidacy in election,P3602
family,P53
located in or next to body of water,P206
language of work or name,P407
connects with,P2789
political ideology,P1142
instrument,P1303
"dissolved, abolished or demolished date",P576
end time,P582
part of the series,P179
replaced by,P1366
architectural style,P149
structure replaces,P1398
organizer,P664
movement,P135
place of burial,P119
home venue,P115
head coach,P286
season,P4908
crosses,P177
architect,P84
applies to jurisdiction,P1001
diplomatic relation,P530
published in,P1433
sibling,P3373
writing language,P6886
place of publication,P291
replaces,P1365
different from,P1889
mountain range,P4552
parent astronomical body,P397
child astronomical body,P398
heritage designation,P1435
located on terrain feature,P706
director / manager,P1037
named by,P3938
parent organization,P749
military branch,P241
number of hospital beds,P6801
production company,P272
has phenotype,P6532
operating area,P2541
season of club or team,P5138
platform,P400
basin country,P205
highest point,P610
subsidiary,P355
population,P1082
chairperson,P488
place served by transport hub,P931
relative,P1038
competition class,P2094
site of astronomical discovery,P65
endemic to,P183
elevation above sea level,P2044
narrative location,P840
field of work,P101
drafted by,P647
contains settlement,P1383
has boundary,P4777
ethnic group,P172
capital of,P1376
parent club,P831
surface played on,P765
destination point,P1444
twinned administrative body,P190
librettist,P87
director of photography,P344
film editor,P1040
publication interval,P2896
service retirement,P730
constellation,P59
enclave within,P501
terminus,P559
producer,P162
afflicts,P689
discoverer or inventor,P61
school district,P5353
adjacent station,P197
contains,P4330
commanded by,P4791
mouth of the watercourse,P403
tributary,P974
studies,P2578
first flight,P606
broadcast by,P3301
residence,P551
terminus location,P609
has parts of the class,P2670
influenced by,P737
has works in the collection,P6379
track gauge,P1064
this taxon is source of,P1672
crew member,P1029
astronaut mission,P450
earthquake magnitude on the moment magnitude scale,P2527
student of,P1066
office held by head of government,P1313
cause of death,P509
located in protected area,P3018
carries,P2505
affiliation,P1416
number of participants,P1132
currency,P38
set in period,P2408
given name,P735
primary destinations,P1302
field of this occupation,P425
date of first performance,P1191
voice type,P412
natural product of taxon,P1582
convicted of,P1399
highway system,P16
operating system,P306
geography of topic,P2633
original language of film or TV show,P364
item operated,P121
date of official closure,P3999
ammunition,P739
legislative body,P194
number of seasons,P2437
cell component,P681
located in time zone,P421
sports league level,P3983
editor,P98
inflows,P200
history of topic,P2184
based on,P144
derivative work,P4969
diocese,P708
dam,P4792
lakes on river,P469
length,P2043
width,P2049
statement is subject of,P805
number of episodes,P1113
airline hub,P113
designed by,P287
opposite of,P461
worshipped by,P1049
software engine,P408
number of representations,P5027
office contested,P541
successful candidate,P991
candidate,P726
located in the statistical territorial entity,P8138
linguistic typology,P4132
effective date,P7588
event distance,P3157
